IBGE;UF;MUNICIPIO;CNES;NOME FANTASIA;RAZAO SOCIAL;CNPJ PROPRIO;CNPJ MANTENEDORA;TIPO GESTAO;LOGRADOURO;NUMERO;BAIRRO;CEP;LATITUDE;LONGITUDE
330411;RJ;PORTO REAL;7084048;ERLEI OLIVEIRA ANDRADE MEDICINA E ANESTESIA LTDA;ERLEI OLIVEIRA ANDRADE MEDICINA E ANESTESIA LTDA;09628445000276;;M;AVENIDA RENATO MONTEIRO;6200;CENTRO;27570000;-22.42000;-44.29000
330240;RJ;MACAE;5545749;JOAO BATISTA DE SOUZA JUNIOR;JOAO BATISTA DE SOUZA JUNIOR;;;M;RUA DOUTOR JOAO CUPERTINO;296;IMBETIBA;27913100;-22.38166;-41.77388
330455;RJ;RIO DE JANEIRO;5546583;SMS CMS CATIRI AP 51;SMS RIO CMS CATIRI AP 51;;29468055000102;M;RUA TRES MARIAS;S/N;BANGU;21860340;-22.84772;-43.47152
330455;RJ;RIO DE JANEIRO;5546591;SMS CF MARIA JOSE DE SOUSA BARBOSA AP 51;SMS RIO CF MARIA JOSE DE SOUSA BARBOSA AP 51;;29468055000102;M;ESTRADA DO TAQUARAL;100;BANGU;21842550;-22.86424;-43.47473
330395;RJ;PINHEIRAL;2271141;HOSPITAL MUNICIPAL DE PINHEIRAL AURELINO GONCALVES BARBOSA;MUNICIPIO DE PINHEIRAL;;01612981000190;M;RUA FRANCISCO RIBEIRO DE ABREU;60;CENTRO;27197000;-22.51919;-43.99561
330610;RJ;VALENCA;3347001;MARIZE DO LORETO FERREIRA MACHADO;MARIZE DO LORETO FERREIRA MACHADO;;;M;RUA RAPHAEL JANNUZZI;15;CENTRO;27600000;-22.24558;-43.70166
330600;RJ;TRES RIOS;5562481;MARCIO BRANDAO PINTO;MARCIO BRANDAO PINTO;;;M;RUA MANOEL DUARTE;92;CENTRO;25804020;-22.117;-43.209
330340;RJ;NOVA FRIBURGO;3612767;EBENEZER SOARES FERREIRA JUNIOR;EBENEZER SOARES FERREIRA JUNIOR;;;M;LADEIRA ROBADEY;02;CENTRO;28605290;-22.26774;-42.52981
330460;RJ;SANTA MARIA MADALENA;2268507;UNIDADE CENTRAL DE SAUDE DR MANOEL VERBICARIO;MUNICIPIO DE SANTA MARIA MADALENA;;28645760000680;M;RUA DR IZAMOR NOVAES DE SA;S/N;CENTRO;28770000;-21.955;-42.008
330190;RJ;ITABORAI;5616018;CLINICA HERINGER;CLINICA DE CIRURGIA PLASTICA LUZIMAGNO HERINGER LTDA;03978066000149;;M;RUA PREFEITO ALVARO DE CARVALHO JUNIOR;534;NANCILANDIA;24800205;-22.73808;-42.84874
